customer_id,account_length,location_code,intertiol_plan,voice_mail_plan,number_vm_messages,total_day_min,total_day_calls,total_day_charge,total_eve_min,total_eve_calls,total_eve_charge,total_night_minutes,total_night_calls,total_night_charge,total_intl_minutes,total_intl_calls,total_intl_charge,customer_service_calls,Churn,charge_per_min_day,charge_per_min_eve,charge_per_min_night,charge_per_min_intl
1001,15.0,452,no,no,0.0,121.1,130.0,20.59,216.0,86.0,18.36,235.1,33.0,10.58,16.1,5.0,4.35,2.0,No,0.17002477291494633,0.08499999999999999,0.045002126754572526,0.27018633540372666
1002,105.0,452,no,no,0.0,259.3,96.0,44.08,175.2,97.0,14.89,222.4,36.0,10.01,12.0,5.0,3.24,3.0,No,0.16999614346317005,0.08498858447488586,0.04500899280575539,0.27
1003,97.0,452,no,yes,32.0,183.4,94.0,31.18,269.1,120.0,22.87,203.5,38.0,9.16,6.7,4.0,1.81,5.0,No,0.17001090512540892,0.08498699368264585,0.04501228501228501,0.2701492537313433
1004,121.0,445,no,yes,35.0,68.7,95.0,11.68,209.2,69.0,17.78,197.4,42.0,8.88,11.4,4.0,3.08,1.0,No,0.1700145560407569,0.08499043977055451,0.044984802431610946,0.27017543859649124
1005,98.0,452,no,yes,22.0,278.3,89.0,47.31,93.4,143.0,7.94,107.6,42.0,4.84,9.7,5.0,2.62,0.0,No,0.16999640675530003,0.08501070663811564,0.04498141263940521,0.2701030927835052
1006,151.0,445,no,yes,17.0,214.7,97.0,36.5,138.5,90.0,11.77,169.1,44.0,7.61,8.6,4.0,2.32,1.0,No,0.17000465766185377,0.08498194945848375,0.04500295683027795,0.2697674418604651
1007,170.0,452,no,yes,42.0,185.5,111.0,34.92,145.0,94.0,11.48,175.6,44.0,8.31,10.9,3.0,2.94,4.0,Yes,0.1882479784366577,0.07917241379310345,0.04732346241457859,0.2697247706422018
1008,39.0,445,no,no,0.0,60.4,158.0,10.27,306.2,120.0,26.03,123.9,46.0,5.58,12.4,3.0,3.35,1.0,No,0.17003311258278145,0.08500979751796213,0.045036319612590796,0.2701612903225806
1009,94.0,547,no,no,0.0,262.2,105.0,48.1,216.6,102.0,18.22,235.6,47.0,9.97,11.5,3.0,3.11,3.0,Yes,0.1834477498093059,0.08411819021237303,0.04231748726655348,0.27043478260869563
1010,93.0,547,yes,no,0.0,168.4,114.0,28.63,276.0,127.0,23.46,196.2,48.0,8.83,11.4,3.0,3.08,1.0,No,0.17001187648456056,0.085,0.04500509683995923,0.27017543859649124
1011,170.0,452,no,yes,42.0,199.5,119.0,33.92,135.0,90.0,11.48,184.6,49.0,8.31,10.9,3.0,2.94,4.0,Yes,0.1700250626566416,0.08503703703703704,0.04501625135427953,0.2697247706422018
1012,61.0,445,no,yes,31.0,288.7,101.0,49.08,203.8,102.0,17.329776092956873,203.2,49.0,9.14,8.6,3.0,2.32,0.0,No,0.17000346380325598,0.0,0.04498031496062992,0.2697674418604651
1013,137.0,547,no,no,0.0,242.1,118.0,41.16,191.0,93.0,16.24,218.6,50.0,9.84,14.7,2.0,3.97,3.0,No,0.17001239157372985,0.0850261780104712,0.045013723696248856,0.27006802721088435
1014,85.0,452,no,no,0.0,176.4,122.0,29.99,224.9,123.0,19.12,219.6,50.0,9.88,11.5,1.0,3.11,1.0,No,0.17001133786848072,0.08501556247220987,0.044990892531876145,0.27043478260869563
1015,121.0,547,no,no,0.0,177.2,142.0,30.12,123.5,88.0,10.5,213.2,51.0,9.59,8.4,6.0,2.27,1.0,No,0.16997742663656887,0.08502024291497975,0.044981238273921205,0.2702380952380952
1016,94.0,547,no,no,0.0,271.2,105.0,46.1,202.6,105.0,17.22,221.6,51.0,9.97,11.5,3.0,3.11,3.0,Yes,0.16998525073746315,0.08499506416584403,0.04499097472924188,0.27043478260869563
1017,113.0,452,no,yes,30.0,183.8,102.0,31.25,183.4,123.0,15.59,235.0,52.0,10.58,11.6,7.0,3.13,0.0,No,0.17002176278563655,0.08500545256270446,0.04502127659574468,0.26982758620689656
1018,101.0,452,no,no,0.0,154.4,130.0,26.25,217.2,101.0,18.46,185.4,52.0,8.34,13.9,4.0,3.75,1.0,No,0.17001295336787564,0.08499079189686926,0.04498381877022654,0.2697841726618705
1019,32.0,547,no,no,0.0,230.9,87.0,39.25,187.4,90.0,15.93,154.0,53.0,6.93,6.3,2.0,1.7,0.0,No,0.16998700736249459,0.08500533617929562,0.045,0.2698412698412698
1020,149.0,445,no,no,0.0,69.1,117.0,11.75,136.3,100.0,11.59,181.7,53.0,8.18,6.3,3.0,1.7,1.0,No,0.17004341534008685,0.08503301540719001,0.04501926252063842,0.2698412698412698
1021,105.0,452,no,no,0.0,101.4,48.0,17.24,159.1,119.0,13.52,259.2,53.0,11.66,12.2,2.0,3.29,1.0,No,0.1700197238658777,0.08497800125707103,0.04498456790123457,0.269672131147541
1022,54.0,547,no,no,0.0,210.5,102.0,35.79,204.5,83.0,17.38,127.8,53.0,5.75,8.5,5.0,2.3,1.0,No,0.17002375296912114,0.08498777506112469,0.04499217527386542,0.27058823529411763
1023,149.0,445,no,yes,28.0,180.7,92.0,30.72,187.8,64.0,15.96,265.5,53.0,11.95,12.6,3.0,3.4,3.0,No,0.170005534034311,0.08498402555910543,0.04500941619585687,0.2698412698412698
1024,52.0,547,yes,no,0.0,251.4,118.0,42.74,196.6,80.0,16.71,192.0,53.0,8.64,11.0,2.0,2.97,0.0,Yes,0.1700079554494829,0.08499491353001018,0.045000000000000005,0.27
1025,174.0,445,no,no,0.0,192.1,97.0,32.66,169.9,94.0,14.44,166.6,54.0,7.5,11.4,4.0,3.08,1.0,No,0.1700156168662155,0.08499117127722189,0.045018007202881155,0.27017543859649124
1026,160.0,445,no,no,0.0,82.7,116.0,14.06,194.6,95.0,16.54,159.0,54.0,7.15,10.9,9.0,2.94,0.0,No,0.17001209189842806,0.08499486125385405,0.0449685534591195,0.2697247706422018
1027,122.0,547,no,no,0.0,157.1,133.0,25.71,191.9,121.0,16.72,193.2,54.0,8.87,8.5,5.0,2.3,4.0,Yes,0.16365372374283896,0.08712871287128712,0.04591097308488613,0.27058823529411763
1028,96.0,445,no,yes,29.0,150.0,91.0,25.5,159.4,75.0,13.55,228.1,55.0,10.26,8.5,3.0,2.3,1.0,No,0.17,0.08500627352572146,0.04498027181060938,0.27058823529411763
